sentiment,review,text_length,synonym_replacement,random_insertion,random_swap,random_deletion
neg, @ anonymous urf shezad .. tum nay bhi to meri bohot izzat - afzaee ki thi aur mujhay bohot mayoos kiya tha .... jis direction main wo discussion jaa raha tha ... ussay stop kerna hi behter tha .... main nay apnay comments delete kerdiye thay iss liye naam khud - ba - khud change hogya .... khair .... phir bhi .... tum mujhay achay insaan lagtay ho .... iss liye jawab day rahi hoon ... main mardon say darti nahin hoon ... lakin zayda ter ko to bohot na pasand kerti hoon . :) ,480.0,@ anonymous urf shezad .. tum nay bhi to meri bohot izzat - afzaee ki thi aur mujhay bohot mayoos kiya tha .... jis instruction main wo discussion jaa raha tha ... ussay stop kerna hi behter tha .... main nay apnay comments delete kerdiye thay iss liye naam khud - ba - khud change hogya .... khair .... phir bhi .... tum mujhay achay insaan lagtay atomic number 67 .... iss liye jawab day rahi hoon ... main mardon say darti nahin hoon ... lakin zayda ter ko to bohot na pasand kerti hoon . : ),@ anonymous urf shezad .. tum nay bhi to meri bohot izzat - afzaee ki thi aur mujhay knockout bohot mayoos kiya tha .... jis direction main wo discussion jaa raha tha ... ussay stop kerna hi behter tha .... main nay apnay comments delete kerdiye thay iss liye naam khud - ba primary - khud change hogya .... khair .... phir bhi .... tum mujhay achay insaan lagtay ho .... iss liye jawab day rahi hoon ... main mardon say darti nahin hoon ... lakin zayda ter ko to bohot na pasand kerti hoon . : ),@ anonymous tum shezad .. urf nay bhi to meri bohot izzat - afzaee ki thi aur mujhay bohot mayoos kiya tha .... jis direction main wo discussion jaa raha tha ... ussay stop kerna hi behter tha .... main . apnay comments delete kerdiye thay iss liye naam khud - ba - khud change hogya .... khair .... phir bhi .... tum mujhay achay insaan lagtay ho .... iss liye jawab day rahi hoon ... main mardon say darti nahin hoon ... lakin zayda ter ko to bohot na pasand kerti hoon nay : ),@ anonymous urf shezad .. tum nay bhi to meri bohot izzat - afzaee ki thi aur mujhay bohot mayoos kiya tha .... jis direction main wo discussion jaa raha tha ... ussay stop kerna hi behter tha main nay comments delete kerdiye thay iss liye naam khud - ba - khud change hogya .... .... phir bhi .... tum mujhay achay insaan lagtay iss liye jawab day rahi ... main say darti nahin hoon ... lakin zayda ter ko bohot na pasand hoon . : )
pos,ab hamin kon khilae ga bana kar balke hafsa q trkib ap ne likhi hai ap hi khlain gi ;) ,87.0,abdominal muscle hamin kon khilae georgia bana kar balke hafsa q trkib ap ne likhi hai ap hi khlain gi ; ),ab hamin kon khilae ga bana kar balke hawai'i hafsa q trkib ap ne likhi hai ap hi khlain gi ; group ab ),ab hamin kon khilae ga ; ) balke hafsa q trkib ap ne likhi hai ap hi khlain gi bana kar,ab hamin kon khilae ga kar balke hafsa q trkib ap ne likhi hai ap hi khlain gi ; )
pos,muskan sis ho bahi nahi girls behi patang urhtaayi hy meri friend maha ko bhot achi patang uhdni atti hy sub ki patang cut ho jati hy,133.0,muskan sis holmium bahi nahi missy behi patang urhtaayi hy meri friend maha ko bhot achi patang uhdni atti hy sub ki patang cut holmium jati hy,atomic number 67 muskan sis ho bahi nahi girls behi patang urhtaayi hy meri friend stinger maha ko bhot achi patang uhdni atti hy sub ki patang cut ho jati hy,muskan sis urhtaayi bahi nahi girls behi patang ho hy meri friend maha ko uhdni achi patang bhot atti hy sub ki patang cut ho jati hy,muskan sis ho bahi nahi girls behi patang urhtaayi hy meri friend maha ko bhot achi patang uhdni atti hy sub ki patang cut jati hy
neg,koi patwari issy btay agar sabit hoa tu yeh jail main hu gailzaam tu zardari py b sabit nahi hua sponsored links,112.0,koi patwari issy btay nutrient agar sabit hoa tu yeh gaol main hu gailzaam tu zardari py b sabit nahi hua sponsored links,koi patwari issy btay agar sabit hoa tu yeh jail main hu gailzaam tu zardari py b sabit nahi hua sponsored connect principal links,koi patwari issy btay agar sabit hoa tu yeh b main hu gailzaam py zardari tu jail sabit nahi hua sponsored links,koi patwari issy btay agar sabit hoa tu yeh jail main hu gailzaam tu zardari py b nahi hua sponsored links
neg,bhot acha hoa in ka sath asi hona chaiya tha lanti han ye ,58.0,bhot acha hoa indium ka sath asi hona chaiya tha lanti han dynasty ye,bhot acha hoa in ka sath asi hona inwards chaiya tha lanti in han ye,bhot acha hoa in ka lanti asi hona chaiya tha sath ye han,bhot acha hoa in sath asi hona chaiya tha lanti han ye
neg,laanntiiii haramiii ganjaaa,27.0,laanntiiii haramiii ganjaaa,laanntiiii haramiii ganjaaa,haramiii ganjaaa laanntiiii,laanntiiii haramiii ganjaaa
neg,bakwas post,11.0,bakwas office,spot bakwas situation post,bakwas post,bakwas post
pos,jeet haq ki hogi,16.0,jeet haq ch'i hogi,jeet haq chi ki qi hogi,jeet haq ki hogi,jeet haq ki hogi
neg,mera kaam kion ghyab ho gia is thread se ... :-? koi wajah hi bata de,69.0,mera kaam kion ghyab ho gia is string southeastward ... : - ? koi wajah hi bata de,mera kaam kion ghyab ho gia is thread se ... : - ? koi wajah hi bata armed islamic group de armed islamic group,mera kaam de ghyab ho gia is - se ... : thread ? koi wajah hi bata kion,mera kaam kion ghyab ho gia is thread ... : - ? koi wajah hi bata de
pos,darya sind per jaga jaga dam banay jayn taka bijly ki pedawar barh saky aur mulk taraqi ker saky,96.0,darya sind per jaga jaga dam banay jayn taka bijly qi pedawar barh saky aur mulk taraqi one thousand saky,darya sind per jaga chi jaga dam banay jayn m taka bijly ki pedawar barh saky aur mulk taraqi ker saky,per sind taraqi jaga jaga dam banay jayn taka bijly ki pedawar barh saky aur mulk darya ker saky,sind per jaga jaga dam banay jayn taka bijly ki pedawar barh saky aur mulk taraqi ker saky
